Código;Data do relatório;Espécie;Captura (Kg);Valor R$/Kg
2252051;15/07/2022;Sardinha-verdadeira;70.000,00;3,2
2346831;16/07/2022;Sardinha-verdadeira;18.168,00;3,2
2278134;16/07/2022;Sardinha-verdadeira;23.080,00;3,8
2278134;18/07/2022;Sardinha-verdadeira;120;3,5
2252051;18/07/2022;Sardinha-verdadeira;16.000,00;3,2
2252051;18/07/2022;Sardinha-verdadeira;35.000,00;3,2
2346831;19/07/2022;Sardinha-verdadeira;80.784,00;3,2
2346831;20/07/2022;Sardinha-verdadeira;70.974,00;3,2
2305863;20/07/2022;Sardinha-verdadeira;3.000,00;1,1
2252051;21/07/2022;Sardinha-verdadeira;50.000,00;3,2
2252051;21/07/2022;Sardinha-verdadeira;65.000,00;3,4
2252051;21/07/2022;Sardinha-verdadeira;140.000,00;3,4
2321243;22/07/2022;Sardinha-verdadeira;2.720,00;1
2321243;22/07/2022;Sardinha-verdadeira;3.560,00;3,2
2252051;22/07/2022;Sardinha-verdadeira;7.000,00;3,2
2305863;23/07/2022;Sardinha-verdadeira;5.500,00;1,1
2278134;23/07/2022;Sardinha-verdadeira;58;3,5
2305863;25/07/2022;Sardinha-verdadeira;7.000,00;1,1
2305863;25/07/2022;Sardinha-verdadeira;40.000,00;1,1
2278134;25/07/2022;Sardinha-verdadeira;12.520,00;3,8
2278134;25/07/2022;Sardinha-verdadeira;2.160,00;3,4
2278134;26/07/2022;Sardinha-verdadeira;702;3,8
2321243;27/07/2022;Sardinha-verdadeira;5.960,00;1
2305863;28/07/2022;Sardinha-verdadeira;6.000,00;1,1
2305863;28/07/2022;Sardinha-verdadeira;7.000,00;1,1
2252051;28/07/2022;Sardinha-verdadeira;20.000,00;3,4
2252051;28/07/2022;Sardinha-verdadeira;9.000,00;3,4
2341741;02/08/2022;Sardinha-verdadeira;14.560,00;3,8
2424657;03/08/2022;Sardinha-verdadeira;1.618,00;1,2
2438893;04/08/2022;Sardinha-verdadeira;3.000,00;4,8
2426268;04/08/2022;Sardinha-verdadeira;80.784,00;3,2
2424657;04/08/2022;Sardinha-verdadeira;200;3,6
2341741;04/08/2022;Sardinha-verdadeira;18.740,00;4
2336092;04/08/2022;Sardinha-verdadeira;30.000,00;3,4
2438893;05/08/2022;Sardinha-verdadeira;3.000,00;4,8
2385045;05/08/2022;Sardinha-verdadeira;13.000,00;1,2
2336092;05/08/2022;Sardinha-verdadeira;50.000,00;3,4
2426268;08/08/2022;Sardinha-verdadeira;8.550,00;3,2
2385045;08/08/2022;Sardinha-verdadeira;12.000,00;1,2
2336092;08/08/2022;Sardinha-verdadeira;7.000,00;3,2
2336092;08/08/2022;Sardinha-verdadeira;4.000,00;3,4
2336092;08/08/2022;Sardinha-verdadeira;16.000,00;3,4
2385045;09/08/2022;Sardinha-verdadeira;2.000,00;1,2
2438893;15/08/2022;Sardinha-verdadeira;9.000,00;4,8
2438893;15/08/2022;Sardinha-verdadeira;7.500,00;4,8
2426268;15/08/2022;Sardinha-verdadeira;20.703,00;3,2
2385045;15/08/2022;Sardinha-verdadeira;12.000,00;1,2
2336092;15/08/2022;Sardinha-verdadeira;25.000,00;3,4
2336092;15/08/2022;Sardinha-verdadeira;50.000,00;3,4
2438893;16/08/2022;Sardinha-verdadeira;1.500,00;4,8
2385045;18/08/2022;Sardinha-verdadeira;9.000,00;1,2
2424657;22/08/2022;Sardinha-verdadeira;24.195,00;1
2385045;22/08/2022;Sardinha-verdadeira;63.000,00;1,2
2341741;22/08/2022;Sardinha-verdadeira;6.841,00;4
2415692;23/08/2022;Sardinha-verdadeira;17.820,00;3,8
2385045;23/08/2022;Sardinha-verdadeira;40.000,00;1,2
2336092;23/08/2022;Sardinha-verdadeira;90.000,00;3,4
2438893;24/08/2022;Sardinha-verdadeira;4.200,00;3
2424657;24/08/2022;Sardinha-verdadeira;44.300,00;1
2385045;25/08/2022;Sardinha-verdadeira;4.000,00;1,2
2385045;26/08/2022;Sardinha-verdadeira;5.000,00;1,2
2424657;27/08/2022;Sardinha-verdadeira;7.678,00;1
2385045;27/08/2022;Sardinha-verdadeira;14.000,00;1,2
2385045;27/08/2022;Sardinha-verdadeira;49.000,00;1,2
2336092;27/08/2022;Sardinha-verdadeira;100.000,00;3,4
2336092;27/08/2022;Sardinha-verdadeira;28.000,00;3,4
2385045;28/08/2022;Sardinha-verdadeira;1.000,00;1,2
2385045;28/08/2022;Sardinha-verdadeira;15.000,00;1,2
2438893;29/08/2022;Sardinha-verdadeira;4.000,00;4,8
2426268;29/08/2022;Sardinha-verdadeira;34.390,00;3,2
2491065;02/09/2022;Sardinha-verdadeira;2.000,00;4,8
2426758;06/09/2022;Sardinha-verdadeira;3.200,00;1
2415550;06/09/2022;Sardinha-verdadeira;10.676,00;4,2
2491065;09/09/2022;Sardinha-verdadeira;1.000,00;4,8
2491065;13/09/2022;Sardinha-verdadeira;5.500,00;4,8
2426758;13/09/2022;Sardinha-verdadeira;8.690,00;4
2426758;13/09/2022;Sardinha-verdadeira;9.820,00;1
2426758;18/09/2022;Sardinha-verdadeira;4.900,00;1
2491065;19/09/2022;Sardinha-verdadeira;7.000,00;4,8
2449380;19/09/2022;Sardinha-verdadeira;23.000,00;3,4
2426758;20/09/2022;Sardinha-verdadeira;12.366,00;4,2
2426758;22/09/2022;Sardinha-verdadeira;73.202,00;1
2415550;22/09/2022;Sardinha-verdadeira;8.620,00;4,2
2426758;25/09/2022;Sardinha-verdadeira;16.200,00;1
2491065;26/09/2022;Sardinha-verdadeira;19.000,00;4,8
2491065;27/09/2022;Sardinha-verdadeira;10.000,00;4,8
2449380;27/09/2022;Sardinha-verdadeira;30.000,00;3,6
2426758;27/09/2022;Sardinha-verdadeira;13.780,00;1
2610725;01/10/2022;Sardinha-verdadeira;7.434,00;1
2501240;01/10/2022;Sardinha-verdadeira;30.000,00;3,6
2493041;01/10/2022;Sardinha-verdadeira;16.940,00;5
2493041;01/10/2022;Sardinha-verdadeira;2.500,00;5
2501240;02/10/2022;Sardinha-verdadeira;10.000,00;3,6
3506177;16/03/2023;Sardinha-verdadeira;70.000,00;1,1
3506177;21/03/2023;Sardinha-verdadeira;52.000,00;1,1
3506177;21/03/2023;Sardinha-verdadeira;31.000,00;1,1
3014775;21/03/2023;Sardinha-verdadeira;40.000,00;2,6
2894946;21/03/2023;Sardinha-verdadeira;48.860,00;3,8
5431719;22/03/2023;Sardinha-verdadeira;70.000,00;1,8
3311886;22/03/2023;Sardinha-verdadeira;158.151,00;2,6
3046153;22/03/2023;Sardinha-verdadeira;12.565,00;3,6
3015853;22/03/2023;Sardinha-verdadeira;200.000,00;2,8
3015853;22/03/2023;Sardinha-verdadeira;200.000,00;2,8
3014775;22/03/2023;Sardinha-verdadeira;38.000,00;2,6
2894946;22/03/2023;Sardinha-verdadeira;25.714,00;3,8
3311886;23/03/2023;Sardinha-verdadeira;152.977,00;2,6
3046153;23/03/2023;Sardinha-verdadeira;16.820,00;3,5
3015853;23/03/2023;Sardinha-verdadeira;200.000,00;2,8
3014775;23/03/2023;Sardinha-verdadeira;12.000,00;2,6
3015853;24/03/2023;Sardinha-verdadeira;60.000,00;2,6
5431719;25/03/2023;Sardinha-verdadeira;86.700,00;1,5
3311886;25/03/2023;Sardinha-verdadeira;63.473,00;2,6
3015853;25/03/2023;Sardinha-verdadeira;90.000,00;2,6
5431719;26/03/2023;Sardinha-verdadeira;72.000,00;1,5
3506177;26/03/2023;Sardinha-verdadeira;19.000,00;1,1
3506177;26/03/2023;Sardinha-verdadeira;135.000,00;1,1
3506177;26/03/2023;Sardinha-verdadeira;180.000,00;1,1
3506177;26/03/2023;Sardinha-verdadeira;40.000,00;1,1
2894946;26/03/2023;Sardinha-verdadeira;30.805,00;2,8
3015853;27/03/2023;Sardinha-verdadeira;140.000,00;2,6
3014775;27/03/2023;Sardinha-verdadeira;25.000,00;2,6
3014775;27/03/2023;Sardinha-verdadeira;30.000,00;2,6
3014775;27/03/2023;Sardinha-verdadeira;8.000,00;2,6
2894946;27/03/2023;Sardinha-verdadeira;120.000,00;2,6
5431719;28/03/2023;Sardinha-verdadeira;33.220,00;1,5
3506177;28/03/2023;Sardinha-verdadeira;8.000,00;1,1
3506177;28/03/2023;Sardinha-verdadeira;40.000,00;1,1
3015853;28/03/2023;Sardinha-verdadeira;145.000,00;2,6
2894946;28/03/2023;Sardinha-verdadeira;16.513,00;2,7
3311886;29/03/2023;Sardinha-verdadeira;78.498,00;2,6
3311886;29/03/2023;Sardinha-verdadeira;27.560,00;2,6
3015853;29/03/2023;Sardinha-verdadeira;105.000,00;2,6
2894946;29/03/2023;Sardinha-verdadeira;9.365,00;2,7
2894946;29/03/2023;Sardinha-verdadeira;35.211,00;2,6
3311886;30/03/2023;Sardinha-verdadeira;15.037,00;2,6
3311886;30/03/2023;Sardinha-verdadeira;8.407,00;2,6
3046153;30/03/2023;Sardinha-verdadeira;18.640,00;2,8
3014775;30/03/2023;Sardinha-verdadeira;17.000,00;2,6
5431719;31/03/2023;Sardinha-verdadeira;28.370,00;1,5
3015853;31/03/2023;Sardinha-verdadeira;68.000,00;2,6
3014775;31/03/2023;Sardinha-verdadeira;21.000,00;2,6
3014775;31/03/2023;Sardinha-verdadeira;8.000,00;2,6
2894946;31/03/2023;Sardinha-verdadeira;80.180,00;2
5448264;01/04/2023;Sardinha-verdadeira;13.000,00;2
3041604;01/04/2023;Sardinha-verdadeira;190.000,00;2,8
3169921;03/04/2023;Sardinha-verdadeira;35.000,00;2,6
5448264;04/04/2023;Sardinha-verdadeira;26.000,00;1,5
3133868;04/04/2023;Sardinha-verdadeira;21.360,00;2,6
3041604;05/04/2023;Sardinha-verdadeira;190.000,00;2,8
3334268;06/04/2023;Sardinha-verdadeira;34.276,00;2,6
3169921;06/04/2023;Sardinha-verdadeira;5.800,00;2,6
3169921;06/04/2023;Sardinha-verdadeira;2.000,00;2,6
3133868;06/04/2023;Sardinha-verdadeira;22.860,00;2,6
3041604;07/04/2023;Sardinha-verdadeira;108.000,00;2,6
3334268;10/04/2023;Sardinha-verdadeira;21.647,00;2,6
3334268;10/04/2023;Sardinha-verdadeira;77.339,00;2,6
3041604;10/04/2023;Sardinha-verdadeira;150.000,00;2,8
5448264;11/04/2023;Sardinha-verdadeira;36.800,00;1,5
3169921;11/04/2023;Sardinha-verdadeira;27.000,00;2,6
3041604;11/04/2023;Sardinha-verdadeira;130.000,00;2,6
5448264;12/04/2023;Sardinha-verdadeira;19.623,00;2,6
3169921;12/04/2023;Sardinha-verdadeira;20.000,00;2,6
3169921;12/04/2023;Sardinha-verdadeira;40.000,00;2,6
5448264;13/04/2023;Sardinha-verdadeira;79.500,00;1,5
3334268;13/04/2023;Sardinha-verdadeira;135.204,00;2,6
3169921;13/04/2023;Sardinha-verdadeira;24.000,00;2,6
3041604;13/04/2023;Sardinha-verdadeira;106.000,00;2,6
3041604;13/04/2023;Sardinha-verdadeira;90.000,00;2,8
3169921;14/04/2023;Sardinha-verdadeira;35.000,00;2,6
3133868;14/04/2023;Sardinha-verdadeira;37.992,00;3,9
3041604;14/04/2023;Sardinha-verdadeira;14.000,00;2,6
3334268;15/04/2023;Sardinha-verdadeira;70.162,00;2,6
3169921;15/04/2023;Sardinha-verdadeira;29.000,00;2,6
3041604;15/04/2023;Sardinha-verdadeira;50.000,00;2,6
3041604;17/04/2023;Sardinha-verdadeira;120.000,00;2,8
3169921;18/04/2023;Sardinha-verdadeira;8.000,00;2,6
3169921;18/04/2023;Sardinha-verdadeira;10.000,00;2,6
3041604;18/04/2023;Sardinha-verdadeira;70.000,00;2,6
5448264;19/04/2023;Sardinha-verdadeira;10.000,00;1,5
3334268;19/04/2023;Sardinha-verdadeira;23.068,00;2,6
3169921;19/04/2023;Sardinha-verdadeira;40.000,00;2,6
3169921;19/04/2023;Sardinha-verdadeira;18.000,00;2,6
3041604;19/04/2023;Sardinha-verdadeira;116.000,00;2,8
3041604;19/04/2023;Sardinha-verdadeira;135.000,00;2,8
3133868;23/04/2023;Sardinha-verdadeira;93.820,00;2,6
3041604;23/04/2023;Sardinha-verdadeira;160.000,00;2,6
5448264;24/04/2023;Sardinha-verdadeira;84.800,00;1,5
3169921;24/04/2023;Sardinha-verdadeira;77.000,00;2,6
3169921;24/04/2023;Sardinha-verdadeira;59.000,00;2,6
3169921;25/04/2023;Sardinha-verdadeira;35.000,00;2,6
3334268;26/04/2023;Sardinha-verdadeira;146.743,00;2,6
3133868;26/04/2023;Sardinha-verdadeira;90.660,00;2,6
3133868;27/04/2023;Sardinha-verdadeira;40;2,6
3169921;30/04/2023;Sardinha-verdadeira;85.000,00;2,6
3169921;30/04/2023;Sardinha-verdadeira;50.000,00;2,6
3133868;30/04/2023;Sardinha-verdadeira;93.630,00;2,6
3298221;01/05/2023;Sardinha-verdadeira;48.000,00;2
3250951;01/05/2023;Sardinha-verdadeira;200.000,00;2,8
5466651;03/05/2023;Sardinha-verdadeira;57.100,00;1,5
3482375;03/05/2023;Sardinha-verdadeira;55.000,00;1,2
